CATEGORY, VALUE
Research & Innovation, 16.282084986801856
Competitiveness of SMEs, 52.977664408357285
Low-Carbon Economy, 18.15078389506855
Climate Change Adaptation & Risk Prevention, 55.132119092365684
Environment Protection & Resource Efficiency, 55.132119092365684
Sustainable & Quality Employment, 19.23830729823539
Social Inclusion, 18.99936584967262
Educational & Vocational Training, 7.125300644097783
Technical Assistance, 5.885311159979963
